# freq (Hz)     P (W*m^-2*Hz^-1)
9.64439e+14     0.0776265
9.59173e+14     0.0814935
9.53906e+14     0.134213
9.48639e+14     0.10652
9.43373e+14     0.194298
9.38106e+14     0.164705
9.3284e+14      0.25868
9.27573e+14     0.25919
9.22306e+14     0.244535
9.1704e+14      0.430745
9.11773e+14     0.448045
9.06507e+14     0.483825
9.0124e+14      0.483455
8.95974e+14     0.50814
8.90707e+14     0.455565
8.8544e+14      0.534065
8.80174e+14     0.57559
8.74907e+14     0.5976
8.69641e+14     0.53703
8.64374e+14     0.59274
8.59107e+14     0.753435
8.53841e+14     0.68068
8.48574e+14     0.694015
8.43308e+14     0.925915
8.38041e+14     0.567055
8.32775e+14     0.89174
8.27508e+14     0.73903
8.22241e+14     1.03783
8.16975e+14     1.20716
8.11708e+14     1.20835
8.06442e+14     0.94055
8.01175e+14     0.99844
7.95908e+14     1.22587
7.90642e+14     1.34414
7.85375e+14     1.33961
7.80109e+14     1.03886
7.74842e+14     1.16128
7.69575e+14     1.34675
7.64309e+14     1.48821
7.59042e+14     1.34116
7.53776e+14     1.70054
7.48509e+14     1.71175
7.43243e+14     2.69447
7.37976e+14     2.58272
7.32709e+14     2.64115
7.27443e+14     2.80407
7.22176e+14     2.86331
7.1691e+14      2.85138
7.11643e+14     2.88636
7.06376e+14     2.92025
7.0111e+14      3.72608
6.95843e+14     2.40193
6.90577e+14     2.91403
6.8531e+14      4.18791
6.80044e+14     3.3492
6.74777e+14     4.6118
6.6951e+14      3.7088
6.64244e+14     5.0933
6.58977e+14     3.8473
6.53711e+14     5.1809
6.48444e+14     5.3154
6.43177e+14     5.1889
6.37911e+14     3.8971
6.32644e+14     5.3864
6.27378e+14     5.4116
6.22111e+14     5.5302
6.16844e+14     6.3354
6.11578e+14     5.2713
6.06311e+14     5.4907
6.01045e+14     5.4029
5.95778e+14     6.5858
5.90512e+14     5.4761
5.85245e+14     6.7655
5.79978e+14     6.2743
5.74712e+14     6.7499
5.69445e+14     5.2641
5.64179e+14     6.8772
5.58912e+14     6.8609
5.53645e+14     8.0427
5.48379e+14     6.7993
5.43112e+14     6.8545
5.37846e+14     8.0471
5.32579e+14     6.7862
5.27313e+14     7.9328
5.22046e+14     8.0451
5.16779e+14     8.0844
5.11513e+14     7.9684
5.06246e+14     7.7372
5.0098e+14      7.9251
4.95713e+14     7.9777
4.90446e+14     9.2426
4.8518e+14      9.2082
4.79913e+14     8.9098
4.74647e+14     8.9555
4.6938e+14      9.1429
4.64113e+14     8.9774
4.58847e+14     9.785
4.5358e+14      8.8116
4.48314e+14     10.2673
4.43047e+14     10.1612
4.37781e+14     9.38855
4.32514e+14     10.1689
4.27247e+14     10.5652
4.21981e+14     9.488
4.16714e+14     9.14664
4.11448e+14     9.93995
4.06181e+14     9.9654
4.00914e+14     11.3269
3.95648e+14     8.86765
3.90381e+14     9.48433
3.85115e+14     10.7484
3.79848e+14     11.3619
3.74582e+14     11.9832
3.69315e+14     10.0302
3.64048e+14     10.0208
3.58782e+14     10.7845
3.53515e+14     11.7293
3.48249e+14     11.6443
3.42982e+14     11.4929
3.37715e+14     11.9272
3.32449e+14     9.29328
3.27182e+14     9.57914
3.21916e+14     5.98946
3.16649e+14     5.26469
3.11382e+14     7.10864
3.06116e+14     10.5646
3.00849e+14     12.4846
2.95583e+14     12.0491
2.90316e+14     12.2411
2.8505e+14      11.6462
2.79783e+14     11.5543
2.74516e+14     10.8904
2.6925e+14      6.13852
2.63983e+14     3.58303
2.58717e+14     6.99666
2.5345e+14      10.3665
2.48183e+14     10.4435
2.42917e+14     11.8694
2.3765e+14      11.091
2.32384e+14     11.0998
2.27117e+14     8.3157
2.21851e+14     1.63212
2.16584e+14     0.00596501
2.11317e+14     0.552558
2.06051e+14     2.51091
2.00784e+14     6.45803
1.95518e+14     10.8856
1.90251e+14     10.516
1.84984e+14     10.6365
1.79718e+14     9.97674
1.74451e+14     8.63994
1.69185e+14     6.52105
