             freq        n         k
1.45037473633E+15   1.4006    2.0277
1.38985840519E+15   1.3986    2.1808
1.32945657650E+15   1.4614    2.3949
1.28061707817E+15   1.6961    3.448
1.26976898772E+15   1.664     3.536
1.25910314154E+15   1.722     3.655
1.24861498542E+15   1.7901    3.763
1.23830011565E+15   1.912     3.916
1.22815427284E+15   2.063     4.052
1.21817333604E+15   2.263     4.163
1.20835331721E+15   2.498     4.24
1.19869035586E+15   2.776     4.269
1.18918071400E+15   3.03      4.225
1.17982077135E+15   3.255     4.12
1.17060702070E+15   3.444     3.989
1.16153606354E+15   3.599     3.8509
1.15260460592E+15   3.73      3.717
1.14380945441E+15   3.799     3.575
1.13514751231E+15   3.868     3.451
1.12661577602E+15   3.929     3.337
1.11821133159E+15   3.979     3.224
1.10993135135E+15   4.014     3.12
1.10177309078E+15   4.055     3.0241
1.09373388544E+15   4.097     2.928
1.08581114813E+15   4.13      2.831
1.07800236606E+15   4.174     2.701
1.07030509818E+15   4.178     2.583
1.06271697270E+15   4.164     2.464
1.05523568462E+15   4.134     2.361
1.04785899336E+15   4.096     2.274
1.04058472058E+15   4.056     2.198
1.03341074802E+15   4.023     2.133
1.02633501541E+15   3.979     2.078
1.01935551853E+15   3.931     2.038
1.01247030733E+15   3.893     2.001
1.00567748407E+15   3.8509    1.972
9.98975201599E+14   3.8171    1.946
9.92361661701E+14   3.7839    1.928
9.85835113450E+14   3.749     1.9131
9.79393851682E+14   3.7209    1.903
9.72720499676E+14   3.695     1.8929
9.66448929723E+14   3.675     1.8869
9.60565389298E+14   3.656     1.88
9.54145315086E+14   3.642     1.874
9.48110240354E+14   3.623     1.877
9.42447211569E+14   3.614     1.8711
9.36266264834E+14   3.598     1.874
9.30454556176E+14   3.591     1.875
9.24999870410E+14   3.584     1.877
9.19326764796E+14   3.573     1.8811
9.13722822310E+14   3.569     1.886
9.08186785822E+14   3.564     1.89
9.02445689344E+14   3.564     1.8929
8.97313552828E+14   3.566     1.8969
8.91973989884E+14   3.562     1.905
8.86435416913E+14   3.565     1.909
8.81483263746E+14   3.566     1.919
8.76073810637E+14   3.57      1.924
8.70983317838E+14   3.575     1.933
8.65951640670E+14   3.577     1.9439
8.61225101982E+14   3.584     1.954
8.56060702456E+14   3.592     1.961
8.51199483248E+14   3.599     1.974
8.46393162055E+14   3.608     1.9851
8.41877163718E+14   3.617     1.995
8.36941535455E+14   3.63      2.007
8.32294441977E+14   3.642     2.0189
8.27927252140E+14   3.658     2.03
8.23153371774E+14   3.672     2.0449
8.18881338432E+14   3.6909    2.056
8.14210912548E+14   3.7091    2.071
8.10030959200E+14   3.727     2.0869
8.05677124429E+14   3.747     2.103
8.01155686799E+14   3.776     2.116
7.97108370114E+14   3.796     2.1339
7.92682332099E+14   3.823     2.1539
7.88719963168E+14   3.856     2.176
7.84591619995E+14   3.896     2.198
7.80506269201E+14   3.9359    2.223
7.76262190575E+14   3.988     2.242
7.72461886112E+14   4.0499    2.253
7.68304607893E+14   4.124     2.262
7.64386685365E+14   4.208     2.254
7.60508518519E+14   4.287     2.231
7.56669505300E+14   4.36      2.186
7.52869055751E+14   4.4169    2.136
7.49293821545E+14   4.459     2.081
7.45381546494E+14   4.488     2.03
7.41693364671E+14   4.509     1.989
7.38041501723E+14   4.527     1.951
7.34425423812E+14   4.542     1.923
7.30844607509E+14   4.556     1.902
7.27298539544E+14   4.577     1.886
7.23786716562E+14   4.602     1.879
7.20481754386E+14   4.633     1.882
7.16863840268E+14   4.685     1.887
7.13451827701E+14   4.755     1.887
7.10072141165E+14   4.849     1.868
7.06724323432E+14   4.949     1.815
7.03573006337E+14   5.08      1.675
7.00122508174E+14   5.126     1.562
6.97029662869E+14   5.152     1.438
6.93642892180E+14   5.152     1.323
6.90447853524E+14   5.135     1.225
6.87282113709E+14   5.11      1.135
6.84145271565E+14   5.073     1.056
6.81036933212E+14   5.041     0.99
6.77956711895E+14   5.002     0.928
6.75056199054E+14   4.962     0.877
6.71879108023E+14   4.924     0.829
6.69030256639E+14   4.884     0.788
6.65761621141E+14   4.858     0.755
6.58595030756E+14   4.778     0.678
6.51581086720E+14   4.702     0.617
6.44576344872E+14   4.634     0.566
6.37584980859E+14   4.575     0.527
6.30743652430E+14   4.518     0.492
6.24307492711E+14   4.467     0.4629
6.18001356421E+14   4.42      0.436
6.11696506835E+14   4.376     0.414
6.05396724556E+14   4.341     0.394
5.99345177929E+14   4.307     0.376
5.93295978627E+14   4.272     0.36
5.87482770919E+14   4.242     0.3459
5.81895298913E+14   4.212     0.334
5.76413109017E+14   4.186     0.322
5.70815799695E+14   4.1621    0.311
5.65539441615E+14   4.141     0.301
5.60150332586E+14   4.116     0.2911
5.54862961318E+14   4.096     0.282
5.49775275995E+14   4.076     0.275
5.44978109435E+14   4.0581    0.268
5.39874766793E+14   4.0399    0.261
5.35057037301E+14   4.0241    0.255
5.30418361642E+14   4.009     0.2479
5.25859424662E+14   3.993     0.2431
5.21287529125E+14   3.977     0.237
5.16616332931E+14   3.96      0.2319
5.12290598086E+14   3.9459    0.2269
5.07950623517E+14   3.934     0.222
5.03598955149E+14   3.9229    0.2179
4.99487600800E+14   3.912     0.214
4.95360968275E+14   3.9       0.21
4.91301963291E+14   3.8909    0.206
4.87150565486E+14   3.881     0.203
4.83302366597E+14   3.874     0.199
4.79437802655E+14   3.865     0.195
4.75559102157E+14   3.851     0.191
4.71965456549E+14   3.844     0.188
4.68279378319E+14   3.839     0.1849
4.64650430874E+14   3.8309    0.1819
4.61077296217E+14   3.825     0.178
4.57419069271E+14   3.8151    0.175
4.54024622141E+14   3.809     0.171
4.50680183403E+14   3.804     0.168
4.47251168134E+14   3.798     0.164
4.43873938407E+14   3.7931    0.162
4.40741631873E+14   3.787     0.159
4.37334001459E+14   3.784     0.1539
4.34230095597E+14   3.779     0.151
4.31045949676E+14   3.776     0.148
4.28152610683E+14   3.77      0.141
4.25056653906E+14   3.7661    0.135
4.22123990425E+14   3.7579    0.1311
4.19231517270E+14   3.749     0.126
4.16320591585E+14   3.7439    0.123
4.13449811061E+14   3.739     0.12
4.10505898946E+14   3.734     0.116
4.07603613868E+14   3.728     0.114
4.04960769958E+14   3.7211    0.111
4.02297984434E+14   3.716     0.108
3.99616712877E+14   3.712     0.108
3.96970945445E+14   3.709     0.105
3.94308112587E+14   3.703     0.1051
3.91680765613E+14   3.698     0.101
3.89239753311E+14   3.692     0.101
3.86579571889E+14   3.689     0.097
3.84152303947E+14   3.685     0.095
3.81755326627E+14   3.684     0.0941
3.79340070859E+14   3.68      0.092
3.76907792306E+14   3.679     0.089
3.74506505934E+14   3.679     0.089
3.72320489319E+14   3.672     0.0861
3.69885821098E+14   3.669     0.082
3.67708154054E+14   3.6691    0.0839
3.65555978539E+14   3.662     0.081
3.63120709787E+14   3.661     0.077
3.57832964908E+14   3.6367    0.0752
3.55414887967E+14   3.6367    0.0729
3.52987705169E+14   3.6366    0.0696
3.50552453227E+14   3.6352    0.0657
3.48150572524E+14   3.6351    0.0609
3.45741503863E+14   3.6364    0.0575
3.44509834521E+14   3.6419    0.0573
3.43798690367E+14   3.6501    0.0582
3.43562294293E+14   3.6515    0.0582
3.43326223087E+14   3.6527    0.0485
3.40905683421E+14   3.6277    0.0018
3.38480815174E+14   3.6139    0  
3.38480433013E+14   3.6139    0
3.38480050852E+14   3.6139    0
3.38479668693E+14   3.6139    0
3.38479286534E+14   3.6139    0
3.38478904376E+14   3.6139    0
3.38478522218E+14   3.6139    0
3.38478140062E+14   3.6139    0
3.38477757907E+14   3.6139    0
3.38477375752E+14   3.6139    0
