       freq              n              k 
1.21793E+15    1.77868E+00    2.95200E-01 
1.21015E+15    1.77377E+00    2.66090E-01
1.20247E+15    1.76899E+00    2.40160E-01
1.19488E+15    1.76434E+00    2.17040E-01
1.18738E+15    1.75982E+00    1.96400E-01
1.17998E+15    1.75542E+00    1.77940E-01
1.17268E+15    1.75114E+00    1.61410E-01
1.16546E+15    1.74698E+00    1.46590E-01
1.15833E+15    1.74292E+00    1.33290E-01
1.15129E+15    1.73897E+00    1.21340E-01
1.14433E+15    1.73513E+00    1.10580E-01
1.13745E+15    1.73139E+00    1.00890E-01
1.13066E+15    1.72774E+00    9.21500E-02
1.12395E+15    1.72418E+00    8.42600E-02
1.11731E+15    1.72072E+00    7.71200E-02
1.11076E+15    1.71734E+00    7.06700E-02
1.10428E+15    1.71405E+00    6.48200E-02
1.09788E+15    1.71084E+00    5.95100E-02
1.09155E+15    1.70771E+00    5.46900E-02
1.08529E+15    1.70466E+00    5.03100E-02
1.07910E+15    1.70168E+00    4.63300E-02
1.07299E+15    1.69877E+00    4.27000E-02
1.06694E+15    1.69594E+00    3.93900E-02
1.06096E+15    1.69317E+00    3.63700E-02
1.05505E+15    1.69047E+00    3.36100E-02
1.04920E+15    1.68783E+00    3.10900E-02
1.04342E+15    1.68525E+00    2.87800E-02
1.03770E+15    1.68273E+00    2.66700E-02
1.03204E+15    1.68027E+00    2.47300E-02
1.02645E+15    1.67787E+00    2.29500E-02
1.02091E+15    1.67552E+00    2.13200E-02
1.01544E+15    1.67323E+00    1.98100E-02
1.01002E+15    1.67099E+00    1.84300E-02
1.00466E+15    1.66879E+00    1.71600E-02
9.99353E+14    1.66665E+00    1.59900E-02
9.94106E+14    1.66455E+00    1.49100E-02
9.88912E+14    1.66250E+00    1.39100E-02
9.83773E+14    1.66050E+00    1.29900E-02
9.78687E+14    1.65854E+00    1.21400E-02
9.73653E+14    1.65662E+00    1.13500E-02
9.68671E+14    1.65474E+00    1.06200E-02
9.63739E+14    1.65290E+00    9.94000E-03
9.58857E+14    1.65110E+00    9.32000E-03
9.54025E+14    1.64934E+00    8.73000E-03
9.49241E+14    1.64761E+00    8.19000E-03
9.44504E+14    1.64592E+00    7.69000E-03
9.39815E+14    1.64427E+00    7.23000E-03
9.35172E+14    1.64265E+00    6.79000E-03
9.30575E+14    1.64106E+00    6.39000E-03
9.26022E+14    1.63951E+00    6.01000E-03
9.21514E+14    1.63798E+00    5.66000E-03
9.17050E+14    1.63649E+00    5.33000E-03
9.12628E+14    1.63503E+00    5.03000E-03
9.08249E+14    1.63359E+00    4.74000E-03
9.03912E+14    1.63218E+00    4.48000E-03
8.99616E+14    1.63081E+00    4.23000E-03
8.95361E+14    1.62945E+00    3.99000E-03
8.91145E+14    1.62813E+00    3.78000E-03
8.86970E+14    1.62683E+00    3.57000E-03
8.82833E+14    1.62555E+00    3.38000E-03
8.78734E+14    1.62430E+00    3.20000E-03
8.74674E+14    1.62307E+00    3.03000E-03
8.70651E+14    1.62187E+00    2.87000E-03
8.66664E+14    1.62069E+00    2.72000E-03
8.62714E+14    1.61953E+00    2.58000E-03
8.58800E+14    1.61839E+00    2.45000E-03
8.54921E+14    1.61727E+00    2.33000E-03
8.51077E+14    1.61617E+00    2.21000E-03
8.47268E+14    1.61509E+00    2.10000E-03
8.43492E+14    1.61404E+00    2.00000E-03
8.39750E+14    1.61300E+00    1.90000E-03
8.36041E+14    1.61198E+00    1.81000E-03
8.32364E+14    1.61098E+00    1.72000E-03
8.28720E+14    1.60999E+00    1.64000E-03
8.25108E+14    1.60902E+00    1.56000E-03
8.21527E+14    1.60807E+00    1.49000E-03
8.17977E+14    1.60714E+00    1.42000E-03
8.14457E+14    1.60622E+00    1.36000E-03
8.10967E+14    1.60532E+00    1.30000E-03
8.07508E+14    1.60443E+00    1.24000E-03
8.04078E+14    1.60356E+00    1.18000E-03
8.00676E+14    1.60271E+00    1.13000E-03
7.97304E+14    1.60187E+00    1.08000E-03
7.93960E+14    1.60104E+00    1.03000E-03
7.90643E+14    1.60022E+00    9.87819E-04
7.87354E+14    1.59942E+00    9.45420E-04
7.84093E+14    1.59864E+00    9.05170E-04
7.80858E+14    1.59786E+00    8.66944E-04
7.77650E+14    1.59710E+00    8.30627E-04
7.74469E+14    1.59635E+00    7.96111E-04
7.71313E+14    1.59561E+00    7.63292E-04
7.68183E+14    1.59489E+00    7.32077E-04
7.65078E+14    1.59417E+00    7.02376E-04
7.61998E+14    1.59347E+00    6.74104E-04
7.58943E+14    1.59278E+00    6.47184E-04
7.55912E+14    1.59210E+00    6.21541E-04
7.52906E+14    1.59143E+00    5.97106E-04
7.49923E+14    1.59077E+00    5.73814E-04
7.46964E+14    1.59012E+00    5.51604E-04
7.44028E+14    1.58948E+00    5.30418E-04
7.41115E+14    1.58885E+00    5.10203E-04
7.38225E+14    1.58823E+00    4.90907E-04
7.35357E+14    1.58762E+00    4.72482E-04
7.32511E+14    1.58702E+00    4.54883E-04
7.29688E+14    1.58643E+00    4.38069E-04
7.26886E+14    1.58585E+00    4.21998E-04
7.24105E+14    1.58527E+00    4.06633E-04
7.21346E+14    1.58471E+00    3.91938E-04
7.18608E+14    1.58415E+00    3.77880E-04
7.15890E+14    1.58360E+00    3.64427E-04
7.13193E+14    1.58306E+00    3.51548E-04
7.10517E+14    1.58253E+00    3.39217E-04
7.07860E+14    1.58200E+00    3.27406E-04
7.05223E+14    1.58149E+00    3.16089E-04
7.02606E+14    1.58098E+00    3.05243E-04
7.00008E+14    1.58047E+00    2.94846E-04
6.97429E+14    1.57998E+00    2.84876E-04
6.94869E+14    1.57949E+00    2.75312E-04
6.92328E+14    1.57901E+00    2.66136E-04
6.89805E+14    1.57853E+00    2.57330E-04
6.87301E+14    1.57806E+00    2.48875E-04
6.84815E+14    1.57760E+00    2.40757E-04
