# Frequency (Hz), Power (W m^-2 Hz^-1)
7.494811449999998438e+13,3.799908802242117606e-13
7.504191689612015625e+13,3.847059043009680946e-13
7.513595438596490625e+13,3.924047580276353129e-13
7.523022785445420312e+13,3.946478210519225187e-13
7.532473819095478125e+13,3.912592689706689298e-13
7.541948628930817188e+13,3.967648345576458933e-13
7.551447304785893750e+13,4.047940449856146681e-13
7.560969936948296875e+13,4.103615641741728910e-13
7.570516616161615625e+13,4.063247669826304296e-13
7.580087433628318750e+13,4.038384090953348640e-13
7.589682481012657812e+13,3.980090744977980803e-13
7.599301850443598438e+13,3.925272227245291367e-13
7.608945634517765625e+13,3.843611638822482422e-13
7.618613926302414062e+13,3.808812308997446904e-13
7.628306819338421875e+13,3.642316395764699570e-13
7.638024407643310938e+13,3.531049857998763921e-13
7.647766785714284375e+13,3.570804493020302967e-13
7.657534048531289062e+13,3.582407185673764610e-13
7.667326291560103125e+13,3.649246026062469425e-13
7.677143610755442188e+13,4.043789145289305258e-13
7.686986102564103125e+13,4.032780804645858765e-13
7.696853863928112500e+13,3.794521633946509139e-13
7.706746992287917188e+13,3.484205726082676135e-13
7.716665585585585938e+13,3.419773826831894424e-13
7.726609742268040625e+13,3.291312082307287807e-13
7.736579561290321875e+13,3.397483318276139384e-13
7.746575142118862500e+13,3.688816344739400442e-13
7.756596584734798438e+13,4.048470441507906117e-13
7.766643989637304688e+13,3.985768118289354218e-13
7.776717457846951562e+13,4.231632135071924338e-13
7.786817090909090625e+13,4.379076149073769816e-13
7.796942990897268750e+13,4.344433009135273848e-13
7.807095260416665625e+13,4.429988727735105875e-13
7.817274002607560938e+13,3.786788718180496579e-13
7.827479321148823438e+13,4.710410911004307446e-13
7.837711320261435938e+13,4.655857240578082579e-13
7.847970104712042188e+13,4.716997581039880788e-13
7.858255779816514062e+13,3.780261336911283738e-13
7.868568451443568750e+13,4.007813008758212741e-13
7.878908226018395312e+13,4.511288363865379559e-13
7.889275210526315625e+13,4.767920879450543952e-13
7.899669512516468750e+13,4.278248849075450085e-13
7.910091240105540625e+13,3.732028886130284797e-13
7.920540501981506250e+13,4.229066563275584321e-13
7.931017407407406250e+13,4.582983762720276296e-13
7.941522066225165625e+13,4.321784251657191348e-13
7.952054588859415625e+13,4.344999473268937932e-13
7.962615086321379688e+13,4.061223749915017572e-13
7.973203670212765625e+13,4.198991695781753425e-13
7.983820452729693750e+13,4.248738833850182944e-13
7.994465546666667188e+13,4.378388373265880426e-13
8.005139065420560938e+13,4.856018075678207971e-13
8.015841122994651562e+13,4.148934776738113467e-13
8.026571834002676562e+13,4.013931559612484578e-13
8.037331313672921875e+13,4.323827853267743522e-13
8.048119677852348438e+13,4.976003911846241800e-13
8.058937043010751562e+13,4.814019490777184196e-13
8.069783526244951562e+13,4.268957945149508960e-13
8.080659245283018750e+13,4.321705561385403743e-13
8.091564318488528125e+13,4.957512963017903154e-13
8.102498864864864062e+13,4.994372807070417419e-13
8.113463004059539062e+13,4.639777118742593744e-13
8.124456856368562500e+13,4.426388451039687066e-13
8.135480542740840625e+13,4.298807036199690800e-13
8.146534184782607812e+13,3.784965643131690354e-13
8.157617904761903125e+13,2.188029362049529175e-13
8.168731825613078125e+13,3.570112059323387644e-13
8.179876070941337500e+13,4.620747878353897357e-13
8.191050765027321875e+13,4.905290072374002696e-13
8.202256032831737500e+13,4.920415778104731487e-13
8.213492000000000000e+13,4.525231168423856541e-13
8.224758792866940625e+13,4.725565330099131616e-13
8.236056538461537500e+13,5.104185456193165347e-13
8.247385364511690625e+13,4.567007401166844740e-13
8.258745399449034375e+13,4.402373271178157406e-13
8.270136772413793750e+13,4.515614557254805316e-13
8.281559613259668750e+13,5.108134454803395518e-13
8.293014052558782812e+13,4.154998023832874144e-13
8.304500221606648438e+13,4.146424719263617378e-13
8.316018252427184375e+13,4.519245131410210375e-13
8.327568277777776562e+13,4.464784767867643564e-13
8.339150431154379688e+13,4.195844143700908154e-13
8.350764846796656250e+13,4.090290605309358196e-13
8.362411659693165625e+13,3.956166994201034745e-13
8.374091005586592188e+13,4.384105686874884628e-13
8.385803020979020312e+13,3.710140808478912016e-13
8.397547843137254688e+13,3.568959362880303059e-13
8.409325610098176562e+13,4.632751995382085272e-13
8.421136460674156250e+13,4.596092247257268759e-13
8.432980534458507812e+13,3.846516349403960899e-13
8.444857971830985938e+13,4.462691986734369296e-13
8.456768913963328125e+13,4.030687529337379651e-13
8.468713502824857812e+13,3.804343362100191608e-13
8.480691881188118750e+13,3.972590676797479753e-13
8.492704192634560938e+13,4.662355958934764146e-13
8.504750581560282812e+13,4.775986621884932324e-13
8.516831193181817188e+13,5.052996710144057034e-13
8.528946173541962500e+13,4.779836707900104026e-13
8.541095669515668750e+13,4.963095092272135127e-13
8.553279828815976562e+13,4.885858505319704024e-13
8.565498799999998438e+13,4.916467911944604318e-13
8.577752732474962500e+13,5.045445625419971848e-13
8.590041776504298438e+13,4.274111925791007769e-13
8.602366083213773438e+13,4.947338858671354499e-13
8.614725804597701562e+13,4.578880500055808094e-13
8.627121093525179688e+13,4.451337193912997080e-13
8.639552103746396875e+13,4.974727796521152479e-13
8.652018989898989062e+13,3.971325021375288354e-13
8.664521907514450000e+13,5.054314648569312327e-13
8.677061013024601562e+13,3.342212179500526939e-13
8.689636463768115625e+13,4.473276892776268896e-13
8.702248417997096875e+13,4.526431343713123414e-13
8.714897034883720312e+13,3.204428450298106444e-13
8.727582474526928125e+13,4.594256784972223106e-13
8.740304897959182812e+13,3.445970175140297594e-13
8.753064467153284375e+13,3.956739965753241410e-13
8.765861345029239062e+13,5.190944530032174541e-13
8.778695695461200000e+13,2.860895897437820486e-13
8.791567683284456250e+13,2.775105405420173409e-13
8.804477474302496875e+13,1.742666790253275565e-13
8.817425235294117188e+13,4.873213988592068515e-13
8.830411134020618750e+13,3.708028596069618405e-13
8.843435339233037500e+13,3.816178521742532919e-13
8.856498020679467188e+13,2.891382681981947282e-13
8.869599349112425000e+13,1.967271723693596605e-13
8.882739496296295312e+13,3.244320067251325730e-13
8.895918635014835938e+13,1.506588644735018952e-13
8.909136939078751562e+13,2.741777533226003060e-13
8.922394583333332812e+13,1.991809691223119735e-13
8.935691743666170312e+13,1.375762655276671310e-13
8.949028597014925000e+13,3.032097808811454554e-13
8.962405321375185938e+13,1.333236845638058305e-13
8.975822095808382812e+13,1.298778192745596105e-13
8.989279100449775000e+13,3.393514058148854454e-13
