# Frequency (Hz), Power (W m^-2 Hz^-1)
7.494811449999998438e+13,3.791583042425971945e-13
7.504191689612015625e+13,3.838381426193183157e-13
7.513595438596490625e+13,3.914966841160494557e-13
7.523022785445420312e+13,3.937155362243969835e-13
7.532473819095478125e+13,3.903240383719058251e-13
7.541948628930817188e+13,3.958003291813965581e-13
7.551447304785893750e+13,4.037899063491450336e-13
7.560969936948296875e+13,4.093337330804366622e-13
7.570516616161615625e+13,4.052942956957243750e-13
7.580087433628318750e+13,4.027948855120964565e-13
7.589682481012657812e+13,3.969785966063229004e-13
7.599301850443598438e+13,3.914837781876421938e-13
7.608945634517765625e+13,3.833203626490163891e-13
7.618613926302414062e+13,3.798379046363468028e-13
7.628306819338421875e+13,3.632167223499665293e-13
7.638024407643310938e+13,3.521080657072435282e-13
7.647766785714284375e+13,3.560604391188521846e-13
7.657534048531289062e+13,3.572079709556937523e-13
7.667326291560103125e+13,3.638689934287805531e-13
7.677143610755442188e+13,4.032039267395445536e-13
7.686986102564103125e+13,4.020959526606904153e-13
7.696853863928112500e+13,3.783236698369510646e-13
7.706746992287917188e+13,3.473605923068285629e-13
7.716665585585585938e+13,3.409251600735732881e-13
7.726609742268040625e+13,3.281118219458343011e-13
7.736579561290321875e+13,3.386864930738184610e-13
7.746575142118862500e+13,3.677076317910573050e-13
7.756596584734798438e+13,4.035564845747387624e-13
7.766643989637304688e+13,3.972995291295821406e-13
7.776717457846951562e+13,4.217752242869966322e-13
7.786817090909090625e+13,4.364490600360599713e-13
7.796942990897268750e+13,4.329836006164638710e-13
7.807095260416665625e+13,4.414741059296428882e-13
7.817274002607560938e+13,3.773346820152494981e-13
7.827479321148823438e+13,4.693627858043049120e-13
7.837711320261435938e+13,4.638971571459615555e-13
7.847970104712042188e+13,4.699571928523965950e-13
7.858255779816514062e+13,3.765794131568846131e-13
7.868568451443568750e+13,3.992318449518833936e-13
7.878908226018395312e+13,4.493661238886137982e-13
7.889275210526315625e+13,4.748846883933284769e-13
7.899669512516468750e+13,4.260762294760597638e-13
7.910091240105540625e+13,3.716361178105421914e-13
7.920540501981506250e+13,4.211146384726596004e-13
7.931017407407406250e+13,4.563347442182819165e-13
7.941522066225165625e+13,4.302912869225682701e-13
7.952054588859415625e+13,4.325751365966652353e-13
