# Wavelength (nm), Power (W m^-2 nm^-1)
2.800000000000000000e+02,2.536100000000000729e-26
2.805000000000000000e+02,1.091699999999999940e-24
2.810000000000000568e+02,6.125299999999999647e-24
2.815000000000000000e+02,2.747900000000000694e-22
2.820000000000000000e+02,2.834600000000000727e-21
2.825000000000000000e+02,1.327099999999999959e-20
2.830000000000000568e+02,6.764599999999998560e-20
2.835000000000000000e+02,1.461400000000000078e-19
2.840000000000000000e+02,4.983800000000000398e-18
2.845000000000000568e+02,2.162399999999999834e-17
2.850000000000000000e+02,8.999800000000002294e-17
2.855000000000000000e+02,6.442399999999999924e-16
2.860000000000000000e+02,2.350299999999999951e-15
2.865000000000000568e+02,1.845799999999999819e-14
2.870000000000000000e+02,7.254700000000001389e-14
2.875000000000000000e+02,3.661800000000000109e-13
2.880000000000000568e+02,2.806099999999999928e-12
2.885000000000000000e+02,9.065100000000001026e-12
2.890000000000000000e+02,3.497799999999999414e-11
2.895000000000000000e+02,1.536800000000000059e-10
2.900000000000000568e+02,5.145399999999998589e-10
2.905000000000000000e+02,1.330300000000000256e-09
2.910000000000000000e+02,3.896500000000001175e-09
2.915000000000000568e+02,1.442499999999999682e-08
2.920000000000000000e+02,4.078900000000001538e-08
2.925000000000000000e+02,7.041399999999999776e-08
2.930000000000000568e+02,1.575999999999999819e-07
2.935000000000000000e+02,4.709500000000000713e-07
2.940000000000000000e+02,9.455800000000001861e-07
2.945000000000000000e+02,1.596500000000000088e-06
2.950000000000000568e+02,3.224600000000000433e-06
2.955000000000000000e+02,8.020600000000002456e-06
2.960000000000000000e+02,1.473699999999999968e-05
2.965000000000000568e+02,2.331199999999999974e-05
2.970000000000000000e+02,3.318700000000001277e-05
2.975000000000000000e+02,6.791200000000002335e-05
2.980000000000000000e+02,1.112699999999999968e-04
2.985000000000000568e+02,1.426999999999999992e-04
2.990000000000000000e+02,2.032299999999999634e-04
2.995000000000000000e+02,3.738600000000000560e-04
3.000000000000000568e+02,4.563099999999998646e-04
3.005000000000000000e+02,5.720700000000001522e-04
3.010000000000000000e+02,9.192599999999999773e-04
3.015000000000000000e+02,1.320100000000000049e-03
3.020000000000000568e+02,1.456999999999999528e-03
3.025000000000000000e+02,2.191000000000000239e-03
3.030000000000000000e+02,3.733199999999999887e-03
3.035000000000000568e+02,4.804399999999999470e-03
3.040000000000000000e+02,5.097300000000000789e-03
3.045000000000000000e+02,6.467499999999998424e-03
3.050000000000000568e+02,8.933600000000001609e-03
3.055000000000000568e+02,1.018599999999999887e-02
3.060000000000000000e+02,1.014999999999999930e-02
3.065000000000000000e+02,1.156800000000000016e-02
3.070000000000000568e+02,1.524599999999999914e-02
3.075000000000000000e+02,1.946799999999999919e-02
3.080000000000000000e+02,2.075299999999999714e-02
3.085000000000000568e+02,2.274999999999999939e-02
3.090000000000000000e+02,2.229800000000000185e-02
3.095000000000000000e+02,2.367200000000000207e-02
3.100000000000000000e+02,2.782599999999999657e-02
3.105000000000000568e+02,3.587900000000000117e-02
3.110000000000000000e+02,4.539200000000000873e-02
3.115000000000000000e+02,4.615599999999999564e-02
3.120000000000000568e+02,5.089799999999999186e-02
3.125000000000000000e+02,5.376600000000000823e-02
3.130000000000000000e+02,5.832300000000000678e-02
3.135000000000000000e+02,5.899899999999999589e-02
3.140000000000000568e+02,6.526600000000000457e-02
3.145000000000000000e+02,7.047600000000001086e-02
3.150000000000000000e+02,7.368600000000000150e-02
3.155000000000000568e+02,6.483300000000000174e-02
3.160000000000000000e+02,6.708800000000000874e-02
3.165000000000000000e+02,8.111800000000002342e-02
3.170000000000000568e+02,9.301999999999997770e-02
3.175000000000000568e+02,9.971200000000000896e-02
3.180000000000000000e+02,9.581499999999999739e-02
3.185000000000000000e+02,1.000500000000000000e-01
3.190000000000000568e+02,1.097099999999999881e-01
3.195000000000000000e+02,1.069300000000000250e-01
3.200000000000000000e+02,1.127700000000000091e-01
3.205000000000000568e+02,1.330499999999999461e-01
3.210000000000000568e+02,1.341399999999999537e-01
3.215000000000000000e+02,1.281700000000000061e-01
3.220000000000000000e+02,1.219999999999999696e-01
3.225000000000000568e+02,1.196999999999999731e-01
3.230000000000000000e+02,1.162300000000000277e-01
3.235000000000000000e+02,1.339300000000000213e-01
3.240000000000000568e+02,1.485200000000000131e-01
3.245000000000000000e+02,1.546700000000000297e-01
3.250000000000000000e+02,1.550400000000000389e-01
3.255000000000000000e+02,1.793600000000000194e-01
3.260000000000000568e+02,2.086799999999999766e-01
3.265000000000000000e+02,2.216199999999999837e-01
3.270000000000000000e+02,2.183400000000000063e-01
3.275000000000000568e+02,2.128499999999999559e-01
3.280000000000000000e+02,1.977300000000000169e-01
3.285000000000000000e+02,2.067499999999999616e-01
3.290000000000000000e+02,2.329699999999999827e-01
3.295000000000000568e+02,2.586399999999999810e-01
3.300000000000000000e+02,2.619200000000000417e-01
3.305000000000000000e+02,2.410299999999999943e-01
3.310000000000000568e+02,2.283499999999999974e-01
3.315000000000000000e+02,2.363500000000000878e-01
3.320000000000000000e+02,2.450800000000000478e-01
3.325000000000000568e+02,2.465499999999999359e-01
3.330000000000000568e+02,2.426299999999999568e-01
3.335000000000000000e+02,2.326499999999999679e-01
3.340000000000000000e+02,2.382299999999999418e-01
3.345000000000000568e+02,2.543399999999998995e-01
3.350000000000000000e+02,2.647700000000000053e-01
3.355000000000000000e+02,2.589400000000000035e-01
3.360000000000000568e+02,2.381299999999999528e-01
3.365000000000000568e+02,2.209899999999999087e-01
3.370000000000000000e+02,2.176700000000000301e-01
3.375000000000000000e+02,2.343400000000000205e-01
3.380000000000000568e+02,2.532099999999999906e-01
3.385000000000000000e+02,2.654900000000000593e-01
3.390000000000000000e+02,2.709599999999999786e-01
3.395000000000000568e+02,2.784699999999998843e-01
3.400000000000000000e+02,2.965900000000000203e-01
3.405000000000000000e+02,2.967400000000000593e-01
3.410000000000000000e+02,2.793200000000000127e-01
3.415000000000000568e+02,2.785299999999998888e-01
3.420000000000000000e+02,2.912100000000000799e-01
3.425000000000000000e+02,3.029600000000000626e-01
3.430000000000000568e+02,3.085699999999999554e-01
3.435000000000000000e+02,2.924600000000000533e-01
3.440000000000000000e+02,2.535199999999999676e-01
3.445000000000000568e+02,2.443899999999999406e-01
3.450000000000000568e+02,2.785399999999999543e-01
3.455000000000000000e+02,2.976100000000000412e-01
3.460000000000000000e+02,2.913199999999999124e-01
3.465000000000000568e+02,2.974699999999999567e-01
3.470000000000000000e+02,3.031800000000000606e-01
3.475000000000000000e+02,2.935100000000000486e-01
3.480000000000000568e+02,2.930599999999999317e-01
3.485000000000000568e+02,2.988400000000000500e-01
3.490000000000000000e+02,2.886400000000000077e-01
3.495000000000000000e+02,2.971999999999999642e-01
3.500000000000000568e+02,3.291299999999999226e-01
3.505000000000000000e+02,3.547100000000000253e-01
3.510000000000000000e+02,3.460300000000000598e-01
3.515000000000000568e+02,3.338799999999998991e-01
3.520000000000000568e+02,3.267399999999999749e-01
3.525000000000000000e+02,3.095400000000000373e-01
3.530000000000000000e+02,3.297499999999998765e-01
3.535000000000000568e+02,3.635099999999999998e-01
3.540000000000000000e+02,3.852299999999999613e-01
3.545000000000000000e+02,3.904299999999999993e-01
3.550000000000000568e+02,3.914000000000000257e-01
3.555000000000000000e+02,3.787800000000000611e-01
3.560000000000000000e+02,3.562699999999999756e-01
3.565000000000000000e+02,3.349500000000000255e-01
3.570000000000000568e+02,2.952699999999999769e-01
3.575000000000000000e+02,2.995000000000000440e-01
3.580000000000000000e+02,2.793599999999999417e-01
3.585000000000000568e+02,2.599799999999999334e-01
3.590000000000000000e+02,3.065000000000001057e-01
3.595000000000000000e+02,3.701299999999999590e-01
3.600000000000000568e+02,3.924000000000000266e-01
3.605000000000000568e+02,3.716699999999999449e-01
3.610000000000000000e+02,3.427799999999999736e-01
3.615000000000000000e+02,3.364700000000000468e-01
3.620000000000000568e+02,3.534999999999999254e-01
3.625000000000000000e+02,3.880400000000001071e-01
3.629999999999999432e+02,4.000500000000000722e-01
3.635000000000000568e+02,3.899399999999999533e-01
3.640000000000000568e+02,4.047200000000000242e-01
3.645000000000000000e+02,4.017900000000000360e-01
3.650000000000000000e+02,4.181000000000000272e-01
3.655000000000000568e+02,4.611000000000001209e-01
3.660000000000000000e+02,4.950800000000000201e-01
3.665000000000000000e+02,4.969400000000000484e-01
3.670000000000000568e+02,4.886900000000000688e-01
3.675000000000000000e+02,4.804100000000001147e-01
3.680000000000000000e+02,4.531899999999999262e-01
3.685000000000000000e+02,4.510600000000000720e-01
3.690000000000000568e+02,4.724400000000000821e-01
3.695000000000000000e+02,5.085600000000000120e-01
3.700000000000000000e+02,5.166600000000000081e-01
3.705000000000001137e+02,4.679799999999998961e-01
3.710000000000000000e+02,4.762800000000000922e-01
3.715000000000000000e+02,4.958700000000000885e-01
3.720000000000000568e+02,4.650600000000000844e-01
3.725000000000000568e+02,4.438899999999998403e-01
3.730000000000000568e+02,4.283300000000000440e-01
3.735000000000000000e+02,3.868199999999998862e-01
3.740000000000000568e+02,3.865100000000000757e-01
3.745000000000000000e+02,3.843500000000000250e-01
3.750000000000000000e+02,4.108700000000000685e-01
3.755000000000000568e+02,4.551400000000001000e-01
3.760000000000000568e+02,4.721800000000000441e-01
3.765000000000000000e+02,4.653799999999999604e-01
3.770000000000000000e+02,5.001400000000000290e-01
3.775000000000000568e+02,5.588999999999999524e-01
3.779999999999999432e+02,6.031400000000001205e-01
3.785000000000000000e+02,5.889199999999997770e-01
3.790000000000000568e+02,5.261599999999999611e-01
3.795000000000000568e+02,4.725499999999999146e-01
3.800000000000000000e+02,4.975100000000001188e-01
3.805000000000000568e+02,5.339599999999998792e-01
3.810000000000000568e+02,5.442399999999999460e-01
3.815000000000000000e+02,4.913500000000000090e-01
3.820000000000000000e+02,4.195800000000000640e-01
3.825000000000000568e+02,3.636099999999999333e-01
3.830000000000000000e+02,3.264799999999999924e-01
3.835000000000000000e+02,3.165799999999999725e-01
3.840000000000000000e+02,3.668899999999999939e-01
3.845000000000000568e+02,4.423899999999998944e-01
3.850000000000000000e+02,4.863800000000000900e-01
3.854999999999999432e+02,4.654900000000000704e-01
3.860000000000000568e+02,4.498399999999999066e-01
3.865000000000000000e+02,4.684800000000001741e-01
3.870000000000000000e+02,4.734300000000000730e-01
3.875000000000000568e+02,4.673100000000000587e-01
3.880000000000001137e+02,4.634999999999999121e-01
3.885000000000000000e+02,4.609600000000000919e-01
3.890000000000000000e+02,5.012100000000000444e-01
3.895000000000000568e+02,5.563699999999999202e-01
3.900000000000000000e+02,5.845699999999999230e-01
3.905000000000000000e+02,5.903800000000001269e-01
3.910000000000000568e+02,6.263400000000000079e-01
3.915000000000000568e+02,6.361700000000000133e-01
3.920000000000000000e+02,5.865600000000001923e-01
3.925000000000000000e+02,4.896099999999999342e-01
3.930000000000000568e+02,3.550200000000000022e-01
3.935000000000000000e+02,2.827200000000000824e-01
3.940000000000000000e+02,3.678000000000000713e-01
3.945000000000000568e+02,5.081099999999998396e-01
3.950000000000000568e+02,6.009599999999998277e-01
3.955000000000000000e+02,6.410099999999998577e-01
3.960000000000000000e+02,5.644299999999998763e-01
3.965000000000000000e+02,4.110099999999999865e-01
3.970000000000000000e+02,3.188199999999999923e-01
3.975000000000000000e+02,4.715100000000000402e-01
3.980000000000000568e+02,6.394399999999998974e-01
3.985000000000000000e+02,7.562200000000000033e-01
3.990000000000000000e+02,8.040800000000000169e-01
3.995000000000000568e+02,8.297999999999998710e-01
4.000000000000001137e+02,8.398899999999996924e-01
4.009999999999999432e+02,8.769100000000003003e-01
4.020000000000000000e+02,9.138699999999998491e-01
4.030000000000000568e+02,8.821099999999999497e-01
4.040000000000000000e+02,8.984899999999998998e-01
4.050000000000000568e+02,8.784899999999998821e-01
4.060000000000000000e+02,8.587800000000000988e-01
4.070000000000000568e+02,8.454499999999995907e-01
4.080000000000000568e+02,8.848799999999998889e-01
4.090000000000000000e+02,9.471700000000001785e-01
4.100000000000000568e+02,8.091000000000000414e-01
