# emw.Ex (V/m) @ freq=3.2962E14                     emw.Ey (V/m) @ freq=3.2962E14
7.292981258621311-53.81731337398169i              -53.83584829228021-7.23498807357688i
15.681388756245525-51.55835327021206i             -51.6354210354901-15.527523685827344i
23.594411864567594-48.544509046288304i            -48.70872700572227-23.371494221729133i
31.032050583587356-44.77578070221051i             -45.05576620297683-30.766899681282208i
37.99430491330555-40.25216823797833i              -40.67653862725336-37.713740064487205i
44.48117485372134-34.97367165359217i              -35.57104427855232-44.21201537134332i
50.49266040483579-28.94029094905116i              -29.739283156872848-50.261725601851644i
56.028761566647304-22.15202612435691i             -23.181255262216542-55.86287075601054i
57.67886158262061-9.289828396994755i              -9.69995501287535-57.85718136310977i
56.303158557361826-0.5943975298810038i            -0.9915151685389243-56.48650091583611i
54.19768127053182+7.630303044463641i              7.251287473492225-54.382266842948376i
51.36242972213064+15.384273326038901i             15.028452913218022-51.54447914444667i
47.79740391215838+22.667513314844886i             22.33998115063833-47.973137820331i
43.50260384061488+29.480023010881645i             29.18587218575338-43.66824287060127i
38.47966233155471+35.82409450360346i              35.55667346590262-38.655097222366074i
32.726449146898915+41.69877788967829i             41.467543472492665-32.87704396982136i
26.24265228641349+47.10392346658177i              46.91356000793042-26.36480710944103i
19.028271750098515+52.0395312343139i              51.894723072215946-19.118386641225193i
13.206158774211236+53.59260406035695i             56.37723204003932-9.90948373175273i
3.854753916910635+53.72011389159241i              55.810759310169956-1.5404609609654862i
-5.286564341696689+52.94739873859457i             54.3826647717488+6.596205783520787i
-15.21370730071375+51.765915126738086i            52.09807376895341+14.498075949390024i
-22.098724612614497+48.82329609670414i            49.78963775697277+22.323012211957085i
-29.507791761577387+44.7553462231256i             46.87638389270463+29.175063000502863i
-36.68546266810064+39.826921313686185i            43.1228589358427+35.83444230934611i
-42.244057771362+33.01595192277019i               35.08679493336577+42.920384715123774i
-47.46461050820325+25.887871847431885i            25.982926169829714+46.990567121652106i
-50.0143372287299+19.03593058880231i              18.482178148472116+50.67472514918304i
-51.73823252554632+11.988886613747185i            10.740085682649958+53.501764900826494i
-52.63629639865261+4.746739922266049i             2.7566487723626563+55.47168637658272i
-52.70852884804883-2.6905094856412686i            -5.4681325823898925+56.58448957645169i
-51.954929873734955-10.322861609974408i           -13.934258381607394+56.840174500433385i
-49.49326463875716-29.072935059017194i            -22.91810925886328+50.211034461444434i
-44.22159118495456-34.83209952925557i             -29.90236463913818+44.76801908291917i
-38.56307074022465-39.865369338574865i            -36.12912277489104+38.8617309901682i
-32.51770330456715-44.172744486975105i            -41.598383666122274+32.49217018319135i
-26.08548887798146-47.75422497445682i             -46.310147312832484+25.65933666198814i
-19.26642746046787-50.60981080101983i             -50.26441371502136+18.363230426558506i
-12.060519052026304-52.73950196666405i            -53.46118287268882+10.603851476902697i
-4.4677636526570925-54.143298471389414i           -55.90045478583485+2.3811998130208476i
6.724666315613472-55.95347763511194i              -56.10021911724547-6.713707060600995i
14.751445186910159-52.50107776593447i             -52.69724252756666-14.770382550697336i
22.1553955168485-48.45231198276048i               -48.69374335595834-22.201416478342676i
28.936517305428165-43.80718028559024i             -44.089721602420944-29.006808843536877i
35.09481055264931-38.565682674423606i             -38.88517726695418-35.18655964627992i
40.63027525851209-32.727819149260455i             -33.080110349558026-40.74066888657207i
45.54291142301623-26.29358971010105i              -26.674520850232703-45.66913656441298i
49.83271904616188-19.262994356945306i             -19.668408768978118-49.9719626798028i
53.4996981279491-11.636033089792932i              -12.061774105794015-53.64914723274168i
